iteration,docs_remaining,percent_of_original,avg_bm25_sql_time_s_disjunctive_top10,query_count,delete_batch
1,457685,100.0,0.160404,100,10000
2,447685,97.815091,0.165266,100,10000
3,437685,95.630182,0.186926,100,10000
4,427685,93.445273,0.203253,100,10000
5,417685,91.260365,0.206274,100,10000
6,407685,89.075456,0.224962,100,10000
7,397685,86.890547,0.234333,100,10000
8,387685,84.705638,0.242169,100,10000
9,377685,82.520729,0.245353,100,10000
10,367685,80.33582,0.258508,100,10000
11,357685,78.150912,0.269368,100,10000
12,347685,75.966003,0.288067,100,10000
13,337685,73.781094,0.285589,100,10000
14,327685,71.596185,0.298648,100,10000
15,317685,69.411276,0.309693,100,10000
16,307685,67.226367,0.316951,100,10000
17,297685,65.041459,0.325178,100,10000
18,287685,62.85655,0.33597,100,10000
19,277685,60.671641,0.346015,100,10000
20,267685,58.486732,0.3588,100,10000
21,257685,56.301823,0.363388,100,10000
22,247685,54.116914,0.383221,100,10000
23,237685,51.932006,0.393972,100,10000
24,227685,49.747097,0.396337,100,10000
25,217685,47.562188,0.397807,100,10000
26,207685,45.377279,0.529476,100,10000
27,197685,43.19237,0.396596,100,10000
28,187685,41.007461,0.40816,100,10000
29,177685,38.822553,0.409149,100,10000
30,167685,36.637644,0.427207,100,10000
31,157685,34.452735,0.418704,100,10000
32,147685,32.267826,0.425834,100,10000
33,137685,30.082917,0.432041,100,10000
34,127685,27.898008,0.430684,100,10000
35,117685,25.7131,0.429649,100,10000
36,107685,23.528191,0.424133,100,10000
37,97685,21.343282,0.417103,100,10000
38,87685,19.158373,0.625167,100,10000
39,77685,16.973464,0.392763,100,10000
40,67685,14.788555,0.383879,100,10000
41,57685,12.603647,0.34924,100,10000
42,47685,10.418738,0.343407,100,10000
43,37685,8.233829,0.307597,100,10000
44,27685,6.04892,0.276141,100,10000
45,17685,3.864011,0.246193,100,10000
